"Type","Ref","LocalPath","SourceFile"
"MISSING_ASSET","../executive-leadership.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\executive-leadership.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\executive-leadership\index.html"
"MISSING_ASSET","../executive-leadership.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\executive-leadership.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\executive-leadership\index.html"
"MISSING_ASSET",".//fonts.googleapis.com","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\fonts.googleapis.com","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_DIR_INDEX","./wp-json/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\wp-json\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_ASSET","./wp-json/wp/v2/pages/169","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\wp-json\wp\v2\pages\169","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_ASSET","./xmlrpc.php?rsd","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\xmlrpc.php","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_DIR_INDEX","./about-antrix/key-functionaries/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\about-antrix\key-functionaries\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_ASSET","./wp-json/oembed/1.0/embed?url=https%3A%2F%2Fgithub.com%2FAdyapragnya%2FAntrix%2Fabout-antrix%2Fkey-functionaries%2F","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\wp-json\oembed\1.0\embed","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_ASSET","./wp-json/oembed/1.0/embed?url=https%3A%2F%2Fgithub.com%2FAdyapragnya%2FAntrix%2Fabout-antrix%2Fkey-functionaries%2F&amp;format=xml","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\wp-json\oembed\1.0\embed","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_DIR_INDEX","./about/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\about\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_DIR_INDEX","./about-antrix/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\about-antrix\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
